"lower","median","upper","sd","id","cells","lic.status"
0.00339731881658304,0.0161167814569537,0.0549953490685368,0.0141031054980764,"HC09","CD8+ TCM","Licensed"
0.0016526567799146,0.00695107554101466,0.0177975142904279,0.00433500812417846,"HC09","CD8+ TEMRA","KIR Negative"
0.00168830934565929,0.00680118978260517,0.016270675230969,0.00380208451560773,"HC09","CD8+ TEMRA","Licensed"
0.0211790173056104,0.0294809956625937,0.0392457170572514,0.0045964224521239,"HC11","CD8+ TCM","Licensed"
0.00188446384290648,0.00605945782905877,0.0128510355737828,0.00288472336123656,"HC11","CD8+ TEMRA","Licensed"
0.00218529867629439,0.00740131163660264,0.0157996693156273,0.00357669330675971,"HC11","CD8+ TEMRA","Unlicensed"
0.00192468728907173,0.00691070855964331,0.0166315620837623,0.00387757157297025,"HC12","CD8+ TEMRA","Licensed"
0.00262931425963679,0.0122679383142317,0.0329755789256521,0.00830183666366001,"HC13","CD8+ TCM","Unlicensed"
0.00170833478660468,0.00656386363531247,0.0155777369817125,0.00363236879769503,"HC13","CD8+ TEMRA","Licensed"
0.00142512208142392,0.00573036912161992,0.0152343189348219,0.00351118334876679,"HC13","CD8+ TEMRA","Unlicensed"
0.00197240108767881,0.00751897238944661,0.0167971509336214,0.00387369036557572,"HT01","CD8+ TEMRA","KIR Negative"
0.00212512926494079,0.00801949719782619,0.0169719079260238,0.00395925435903154,"HT01","CD8+ TEMRA","Licensed"
0.00326427501227982,0.0108214562292707,0.0223747474807693,0.00481674924481886,"HT01","CD8+ TEMRA","Unlicensed"
0.0103005316283556,0.0184517050098531,0.0288904106363757,0.00476623424916607,"HT02","CD8+ TCM","Licensed"
0.0207776641201792,0.0284438381237596,0.0380438791589191,0.00440021129418644,"HT02","CD8+ TCM","KIR Negative"
0.00240741457247485,0.00708820968952314,0.0138619412841045,0.00293465184106802,"HT02","CD8+ TEMRA","Licensed"
0.00434691750635393,0.00918690580106034,0.015180080145764,0.00281475436666556,"HT02","CD8+ TEMRA","KIR Negative"
0.0025697924530648,0.00996196669265459,0.0234246057107721,0.00544241157437341,"HT03","CD8+ TCM","Licensed"
0.00157292545483353,0.00555227401911053,0.0115081730508945,0.00259409459547824,"HT03","CD8+ TEMRA","Licensed"
0.00278719255637805,0.0105325628192869,0.0240707411606325,0.00552501565299793,"HV01","CD8+ TEMRA","Licensed"
0.00227568686685724,0.00823705838408506,0.0190123592342578,0.00451100482218838,"HV01","CD8+ TEMRA","Unlicensed"
0.0133691634338067,0.0343471887798164,0.0708470276395565,0.014546620015382,"HV01","CD8+ TCM","Licensed"
0.00154183073335951,0.0057779764661874,0.013888266453813,0.00322545573893124,"HV02","CD8+ TEMRA","Licensed"
0.00513713579607316,0.00942920832301973,0.014913821947683,0.00248250024183445,"HV02","CD8+ TEMRA","Unlicensed"
0.00360704776239108,0.0148227220679335,0.0361080702543831,0.00847937327018833,"HV04","CD8+ TCM","KIR Negative"
0.00232199098484189,0.00927713364196006,0.0224196225901014,0.00522047824700208,"HV04","CD8+ TEMRA","KIR Negative"
0.00204434074242556,0.0108135399052171,0.0342975883704737,0.00852249009908832,"HV07","CD8+ TCM","Licensed"
0.00190724696697065,0.00959753791221672,0.0302389579920346,0.00761921029334418,"HV07","CD8+ TCM","KIR Negative"
0.00227362086657272,0.0108319287087898,0.0395036605605645,0.0100421520786982,"HV07","CD8+ TEMRA","Licensed"
